year,species_code,comp_type,length,ae,ae_al,al,base
1996,21720,total,560,4.765694942812026,4.46912263414967,3.1650744225917204,5.238580797179024
1996,21720,total,570,7.543349963106136,6.018831800172859,3.5206397853249336,5.424238947414922
1996,21720,total,580,4.126921858189008,3.4101162733672243,3.2759122480412084,5.623851855926708
1996,21720,total,590,9.743892837139544,7.461598954450648,3.6715062710317734,5.72008884333983
1996,21720,total,600,6.2674108530871315,5.615540411319591,3.417950115708971,5.938160236020023
1996,21720,total,610,5.960522338761735,6.406493489271551,3.2505506743453267,4.067995591182172
1996,21720,total,620,7.576783623845845,6.0181681044491775,4.379442620548088,6.297535147514303
1996,21720,total,630,5.996569040918025,5.385803660397237,4.2023943898863,6.545682057748764
1996,21720,total,640,4.670058697592211,4.499182692916724,4.499605403243506,6.493715973154453
1996,21720,total,650,9.348661393559723,6.975619178665293,3.3349460280900503,5.084268131462518
1996,21720,total,660,9.320907165973038,6.086923969709774,4.692762638871173,7.511295891597272
1996,21720,total,670,3.1962946053805554,2.812121550795805,2.6989473187633455,4.079703524878904
1996,21720,total,680,0.6135583542904542,0.6365242122423672,3.6700563373079755,5.043034542716921
1996,21720,total,690,8.455886674051822,6.4146888306815075,4.17753475908728,7.670593007145286
1996,21720,total,700,2.913266380733235,2.4703112541768073,3.1090108022429503,5.22275657916812
1996,21720,total,710,2.7742318775773316,2.2618205641417815,1.9753728976872296,3.2479122191527443
1996,21720,total,720,3.829022978516775,3.8922397553957766,2.4986623686025142,3.596037206465022
1996,21720,total,730,2.540178198060894,2.0267260578113167,1.9692552671340329,3.1316543925550753
1996,21720,total,740,5.386038002994615,3.8544368100290742,1.635905143471471,2.9338003722674513
1996,21720,total,750,5.274069897449172,3.9832032063184406,2.142952211025056,3.953907236112152
1996,21720,total,760,2.6168995524438907,2.314818162063522,2.401073044589338,2.9485060330104487
1996,21720,total,770,2.069553817181682,1.855755738217618,2.4238147952504026,4.141475974130786
1996,21720,total,780,3.2403161337219406,3.1088424618853328,2.0642401366998304,2.3436203765626935
1996,21720,total,790,2.995529635208267,2.656413533842531,1.693383810952315,2.8653799710531027
1996,21720,total,800,4.225782691647859,3.6866714679535266,1.8043462113825923,2.864348243633134
1996,21720,total,810,1.788402519763603,1.6476145747487163,1.3534179224222842,2.5152601485635455
1996,21720,total,820,2.342426701068956,2.3840259891455835,0.9788761977723619,1.3313446111872784
1996,21720,total,830,2.0583589791081423,2.105177378846709,1.1885329155205973,1.288794553829778
1996,21720,total,840,2.899417346102126,2.4235514473170467,1.119872016495333,1.770722398033572
1996,21720,total,850,2.8914343145973347,2.16678856849709,1.267751234325483,1.970293583164294
1996,21720,total,890,1.9918164789769734,2.354984468858433,1.213906203212927,1.2927512010717106
1996,21720,total,910,2.4115762852876244,2.316511529975997,1.7767132307424578,2.0856971322104516
1996,21720,total,920,1.593987074029173,1.5000254750801103,0.8124055701550722,1.001340790143584
1996,21720,total,950,1.8284598928376652,1.8906147274462013,1.4264275489616833,1.6178169872239156
1996,21720,total,960,2.794382927773801,2.524507080537234,1.436608104735687,1.8055025473983182
1996,21720,total,1000,2.331632502061204,2.678204156060561,1.1397756495863451,1.2525084224179643
1999,21720,total,260,3.414989472857678,2.6849061718221905,2.0565052176281604,2.7779270694634928
1999,21720,total,270,2.0820781541825313,1.688971904404177,1.769493426751236,2.3651060867824043
1999,21720,total,330,2.982826168383195,2.9356671183081193,1.6501680580863294,2.1184567766896945
1999,21720,total,340,1.6427779753705645,1.7150430763596198,1.20536178827803,1.272021933810384
1999,21720,total,350,1.771534621645735,1.6607985208883727,1.510360725146807,1.718652813542684
1999,21720,total,360,2.431019579510028,2.0656059188853026,2.5035433422608184,3.395401923407197
1999,21720,total,370,6.446750205021755,5.061448229244047,3.1768260019291237,4.727333186483616
1999,21720,total,400,1.3237370876153274,1.3571411484149345,2.1586176926929825,2.620338738035012
