year,species_code,comp_type,length,ae,ae_al,al,base
1990,30060,male,170,1.4949691543721266,1.3731147313153689,0.9672293112625522,1.1806917050612245
1990,30060,male,190,1.7747330792245462,1.7406874689094587,5.617469611176446,7.871359613967846
1990,30060,male,200,6.15292024915528,5.383238537269441,6.150952068562358,8.40230122698358
1990,30060,male,210,5.987518462679456,5.428686080304931,6.668875805433431,8.840405392246677
1990,30060,male,220,6.01872942499206,5.223679877429571,3.8659084250118294,6.588211977557796
1990,30060,male,230,2.9013956499815112,2.813412433411855,6.0040768318137125,9.127336299636463
1990,30060,male,240,4.128201747116172,3.8532975100066196,9.282758247225042,13.650802648451007
1990,30060,male,250,10.237344559994291,8.905900483219616,9.33774131112561,12.972477331884452
1990,30060,male,260,13.944271861724369,12.404642876480068,14.36184218587609,20.08442268659028
1990,30060,male,270,11.88068306068051,10.870254885677943,11.10138318056451,16.85911264220471
1990,30060,male,280,14.144115204601434,12.906443175716324,9.803166470737388,13.818875777678578
1990,30060,male,290,13.538917573114126,11.969711279294259,10.04833563985566,15.128968841013405
1990,30060,male,300,11.372926182308369,9.906149070346235,9.540668595317763,14.156785611127882
1990,30060,male,310,18.02789483534296,15.920515723956278,14.688650373011345,20.773240407016807
1990,30060,male,320,20.497377815747775,17.724310796404193,12.669226238012017,18.05988452914345
1990,30060,male,330,32.08350158161562,27.767099818907997,20.234881260276484,28.969482355736872
1990,30060,male,340,25.20381061411268,21.91213628249185,15.829572950231551,22.5247327665539
1990,30060,male,350,25.759213801110263,23.732944500146797,16.530355472560405,23.339014066390305
1990,30060,male,360,21.727549204043136,19.452198650555378,17.347730713246172,25.30329276080847
1990,30060,male,370,22.509920538050622,20.50062038650304,17.49936625105461,24.411440405590984
1990,30060,male,380,9.30671216361248,9.001915919826338,15.861921168576547,23.22969946312884
1990,30060,male,390,14.316363494855969,11.572427456622357,8.592366074454407,14.52683674502173
1990,30060,male,400,8.402179998877674,7.313437378006929,7.626667139349798,12.78371545887649
1990,30060,male,410,6.086831101211025,4.789306447092518,4.031742626240087,7.149497786440772
1990,30060,male,420,4.19209108617725,2.908651342296894,2.9855197549960395,5.999910031704581
1990,30060,total,140,1.8246556221482513,1.7948347505018125,2.3153255532414416,1.8300524490542034
1990,30060,total,160,2.2312253337073753,2.1634799007986354,1.3093848320447181,1.515841012059483
1990,30060,total,170,2.5259547637904767,2.220315817930155,1.8702385089320142,2.4307097085179987
1990,30060,total,190,1.783733825018043,1.8206717372310905,9.366976363078027,15.044092786879125
1990,30060,total,200,6.966244536318853,6.525433375724829,11.096519654917785,16.234345734370944
1990,30060,total,210,10.220983589299133,9.964911841318576,9.183390384034627,12.67414360962122
1990,30060,total,220,5.346286544945328,5.08253669821884,5.434861457981744,8.764288014509262
1990,30060,total,230,4.06587525841868,4.097136552401449,12.268141160648744,17.037020619734836
1990,30060,total,240,4.90036815132313,4.756442156430124,20.75646432475673,30.07416098342123
1990,30060,total,250,10.727867699777462,9.770416587103417,20.621214414865673,27.25308136683417
1990,30060,total,260,19.87540462419036,18.115657241183612,23.213073140313977,32.052653777547235
1990,30060,total,270,19.755018568423914,19.049060048243167,21.545746254440914,30.826510206719313
